"","X","Date","Count","Hour","Temp","Humidity","Wind_speed","Visibility","Dew_Point","Solar_Radiation","Rainfall","Snowfall","Seasons","Holiday","Functioning","demand"
"1",1,"1/1/2018",61,5,-4.4,54,0.8,1786,-12.3,0,0,0,"Winter","Holiday","Yes",0
"2",2,"1/1/2018",62,4,-4.2,53,1.1,1994,-12.3,0,0,0,"Winter","Holiday","Yes",0
"3",3,"1/1/2018",65,6,-4.5,51,1.1,2000,-13.1,0,0,0,"Winter","Holiday","Yes",0
"4",4,"1/1/2018",81,7,-4.7,56,1.1,2000,-12.1,0,0,0,"Winter","Holiday","Yes",0
"5",5,"1/1/2018",89,8,-5,55,1,2000,-12.6,0,0,0,"Winter","Holiday","Yes",0
"6",6,"1/1/2018",119,3,-4,44,1,2000,-14.4,0,0,0,"Winter","Holiday","Yes",1
"7",7,"1/1/2018",121,9,-4.3,39,0.7,1973,-16.2,0.15,0,0,"Winter","Holiday","Yes",1
"8",8,"1/1/2018",125,19,-0.1,39,1.3,1911,-12.4,0,0,0,"Winter","Holiday","Yes",1
"9",9,"1/1/2018",139,10,-1.6,32,0.8,1766,-16.1,0.53,0,0,"Winter","Holiday","Yes",1
"10",10,"1/1/2018",154,23,-1.6,51,0.7,1882,-10.4,0,0,0,"Winter","Holiday","Yes",1
"11",11,"1/1/2018",168,22,-1.3,48,0.8,1927,-10.9,0,0,0,"Winter","Holiday","Yes",1
"12",12,"1/1/2018",169,11,0.1,27,2.2,1874,-16.7,0.84,0,0,"Winter","Holiday","Yes",1
"13",13,"1/1/2018",178,2,-3.7,42,0.9,2000,-14.7,0,0,0,"Winter","Holiday","Yes",1
"14",14,"1/1/2018",203,21,-0.9,44,1.2,1871,-11.6,0,0,0,"Winter","Holiday","Yes",1
"15",15,"1/1/2018",206,0,-3.2,40,0.5,1358,-14.9,0,0,0,"Winter","Holiday","Yes",1
"16",16,"1/1/2018",206,20,-0.3,40,1.2,1936,-12.2,0,0,0,"Winter","Holiday","Yes",1
"17",17,"1/1/2018",218,18,0.8,34,1.9,1887,-13.3,0.01,0,0,"Winter","Holiday","Yes",1
"18",18,"1/1/2018",225,12,1.5,20,2.8,1992,-19,1.03,0,0,"Winter","Holiday","Yes",1
"19",19,"1/1/2018",230,1,-3.3,41,0.7,2000,-14.7,0,0,0,"Winter","Holiday","Yes",1
"20",20,"1/1/2018",248,13,2.4,22,2.3,1921,-17.2,1.1,0,0,"Winter","Holiday","Yes",1
"21",21,"1/1/2018",271,17,1.8,33,3.3,1913,-12.8,0.18,0,0,"Winter","Holiday","Yes",1
"22",22,"1/1/2018",298,14,3.7,24,2.1,1906,-15,1.01,0,0,"Winter","Holiday","Yes",1
"23",23,"1/1/2018",310,16,3,28,2.5,1864,-13.7,0.51,0,0,"Winter","Holiday","Yes",1
"24",24,"1/1/2018",344,15,3,27,2.9,1715,-14.2,0.78,0,0,"Winter","Holiday","Yes",1
"25",25,"1/2/2018",37,4,-7.1,56,1.8,1841,-14.4,0,0,1.6,"Winter","No Holiday","Yes",0
"26",26,"1/2/2018",51,5,-7.8,65,2.3,1737,-13.2,0,0,1.6,"Winter","No Holiday","Yes",0
"27",27,"1/2/2018",81,3,-6.2,57,1.6,1874,-13.3,0,0,1.6,"Winter","No Holiday","Yes",0
"28",28,"1/2/2018",95,6,-8.1,59,0.7,1915,-14.7,0,0,1.6,"Winter","No Holiday","Yes",0
"29",29,"1/2/2018",103,2,-5.5,53,2.1,1980,-13.5,0,0,1.6,"Winter","No Holiday","Yes",1
